Date,Store ID,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
01-01-2022,S001,Sunny,1,42.39,Winter
01-01-2022,S001,Rainy,0,84.16,Winter
01-01-2022,S001,Rainy,0,12.67,Winter
01-01-2022,S001,Snowy,0,83.03,Winter
01-01-2022,S001,Cloudy,0,20.55,Winter
01-01-2022,S001,Cloudy,0,88.54,Winter
01-01-2022,S001,Cloudy,1,79.78,Winter
01-01-2022,S001,Cloudy,0,59.39,Winter
01-01-2022,S001,Cloudy,0,19.25,Winter
01-01-2022,S001,Rainy,0,67.55,Winter
01-01-2022,S001,Rainy,1,25.72,Winter
01-01-2022,S001,Snowy,0,41.32,Winter
01-01-2022,S001,Rainy,0,42.16,Winter
01-01-2022,S001,Sunny,0,41.44,Winter
01-01-2022,S001,Rainy,0,15.66,Winter
01-01-2022,S001,Sunny,0,65.02,Winter
01-01-2022,S001,Snowy,0,61.15,Winter
01-01-2022,S001,Snowy,0,13.03,Winter
01-01-2022,S001,Cloudy,0,35.6,Winter
01-01-2022,S001,Snowy,0,61.67,Winter
01-01-2022,S001,Cloudy,0,27.41,Winter
01-01-2022,S001,Cloudy,0,36.99,Winter
01-01-2022,S001,Rainy,0,26.44,Winter
01-01-2022,S001,Cloudy,0,87.34,Winter
01-01-2022,S001,Sunny,0,101,Winter
01-01-2022,S001,Snowy,0,76.46,Winter
01-01-2022,S001,Snowy,0,10.35,Winter
01-01-2022,S001,Rainy,0,48.41,Winter
01-01-2022,S001,Cloudy,1,18.86,Winter
01-01-2022,S001,Rainy,0,36.33,Winter
01-01-2022,S002,Sunny,1,90.2,Winter
01-01-2022,S002,Sunny,0,17.69,Winter
01-01-2022,S002,Rainy,0,75.84,Winter
01-01-2022,S002,Sunny,0,11.52,Winter
01-01-2022,S002,Cloudy,0,98.3,Winter
01-01-2022,S002,Rainy,0,22.09,Winter
01-01-2022,S002,Rainy,0,24.18,Winter
01-01-2022,S002,Cloudy,0,10.68,Winter
01-01-2022,S002,Snowy,0,92.17,Winter
01-01-2022,S002,Sunny,0,50.1,Winter
01-01-2022,S002,Sunny,1,61.63,Winter
01-01-2022,S002,Snowy,0,83.89,Winter
01-01-2022,S002,Rainy,0,85.67,Winter
01-01-2022,S002,Sunny,0,10.94,Winter
01-01-2022,S002,Rainy,0,30.35,Winter
01-01-2022,S002,Snowy,0,100.11,Winter
01-01-2022,S002,Cloudy,0,93.73,Winter
01-01-2022,S002,Cloudy,0,96.49,Winter
